brand;femme;age
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;33
PetitPrix;1;33
PetitPrix;0;33
PetitPrix;0;33
PetitPrix;0;33
PetitPrix;0;33
PetitPrix;1;33
PetitPrix;1;34
PetitPrix;0;34
PetitPrix;0;34
PetitPrix;1;34
PetitPrix;1;34
PetitPrix;1;34
PetitPrix;1;34
PetitPrix;0;34
PetitPrix;1;34
PetitPrix;0;34
PetitPrix;1;35
PetitPrix;1;36
PetitPrix;1;36
PetitPrix;0;36
PetitPrix;1;36
PetitPrix;1;36
PetitPrix;1;36
PetitPrix;0;36
PetitPrix;1;36
PetitPrix;0;36
PetitPrix;0;36
PetitPrix;0;37
PetitPrix;1;38
Enseigne;1;28
Enseigne;1;28
Enseigne;1;29
Enseigne;1;29
Enseigne;0;29
Enseigne;1;29
Enseigne;1;29
Enseigne;1;30
Enseigne;1;30
Enseigne;1;30
Enseigne;0;30
Enseigne;0;30
Enseigne;1;30
Enseigne;1;31
Enseigne;0;31
Enseigne;1;31
Enseigne;1;31
Enseigne;1;31
Enseigne;0;31
Enseigne;0;31
Enseigne;1;31
Enseigne;1;31
Enseigne;1;31
Enseigne;0;31
Enseigne;1;31
Enseigne;1;31
Enseigne;0;31
Enseigne;0;32
Enseigne;1;32
Enseigne;0;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;0;32
Enseigne;0;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;0;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;0;32
Enseigne;1;32
Enseigne;0;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;0;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;0;32
Enseigne;1;32
Enseigne;0;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;0;32
Enseigne;0;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;32
Enseigne;1;32
Enseigne;0;32
Enseigne;0;32
Enseigne;1;32
Enseigne;1;32
Enseigne;0;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;0;33
Enseigne;0;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;0;33
Enseigne;0;33
Enseigne;1;33
Enseigne;1;33
Enseigne;1;33
Enseigne;0;33
Enseigne;1;33
Enseigne;0;33
Enseigne;0;33
Enseigne;0;33
Enseigne;1;34
Enseigne;1;34
Enseigne;0;34
Enseigne;1;34
Enseigne;0;34
Enseigne;1;34
Enseigne;0;34
Enseigne;0;34
Enseigne;1;34
Enseigne;1;34
Enseigne;1;34
Enseigne;0;34
Enseigne;0;34
Enseigne;1;34
Enseigne;0;34
Enseigne;1;34
Enseigne;0;34
Enseigne;0;34
Enseigne;1;34
Enseigne;0;34
Enseigne;1;34
Enseigne;1;34
Enseigne;1;34
Enseigne;1;34
Enseigne;1;34
Enseigne;0;34
Enseigne;1;34
Enseigne;0;34
Enseigne;0;34
Enseigne;0;35
Enseigne;1;35
Enseigne;1;35
Enseigne;1;35
Enseigne;0;35
Enseigne;1;35
Enseigne;1;35
Enseigne;1;35
Enseigne;1;36
Enseigne;0;36
Enseigne;1;36
Enseigne;1;36
Enseigne;1;36
Enseigne;1;36
Enseigne;1;36
Enseigne;0;36
Enseigne;1;36
Enseigne;0;36
Enseigne;1;36
Enseigne;1;36
Enseigne;1;36
Enseigne;0;36
Enseigne;1;36
Enseigne;0;36
Enseigne;1;36
Enseigne;0;36
Enseigne;0;36
Enseigne;1;36
Enseigne;1;36
Enseigne;0;36
Enseigne;0;36
Enseigne;1;36
Enseigne;1;36
Enseigne;1;36
Enseigne;0;36
Enseigne;1;36
Enseigne;1;36
Enseigne;0;37
Enseigne;1;37
Enseigne;1;37
Enseigne;1;37
Enseigne;1;37
Enseigne;1;37
Enseigne;0;38
Enseigne;0;38
Enseigne;1;38
Enseigne;0;38
Enseigne;0;38
Enseigne;1;38
Enseigne;0;38
Enseigne;1;38
Reference;1;27
Reference;1;28
Reference;0;28
Reference;0;28
Reference;0;30
Reference;1;30
Reference;1;30
Reference;1;30
Reference;1;31
Reference;1;31
Reference;1;31
Reference;0;31
Reference;0;31
Reference;1;31
Reference;1;31
Reference;1;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;0;32
Reference;0;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;0;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;0;32
Reference;1;32
Reference;1;32
Reference;0;32
Reference;0;32
Reference;0;32
Reference;0;32
Reference;1;32
Reference;1;32
Reference;0;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;0;32
Reference;0;32
Reference;0;32
Reference;1;32
Reference;1;32
Reference;0;32
Reference;0;32
Reference;1;32
Reference;0;32
Reference;0;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;0;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;1;32
Reference;0;32
Reference;0;32
Reference;1;33
Reference;1;33
Reference;0;33
Reference;1;33
Reference;1;33
Reference;0;33
Reference;1;33
Reference;0;33
Reference;0;33
Reference;1;33
Reference;1;33
Reference;0;33
Reference;1;33
Reference;1;33
Reference;0;33
Reference;1;33
Reference;0;34
Reference;1;34
Reference;1;34
Reference;1;34
Reference;0;34
Reference;1;34
Reference;0;34
Reference;1;34
Reference;1;34
Reference;0;34
Reference;1;34
Reference;0;34
Reference;0;34
Reference;1;34
Reference;1;34
Reference;1;34
Reference;1;34
Reference;1;34
Reference;1;34
Reference;0;34
Reference;1;34
Reference;1;34
Reference;1;34
Reference;1;34
Reference;1;34
Reference;1;35
Reference;0;35
Reference;1;35
Reference;1;35
Reference;1;35
Reference;1;35
Reference;1;35
Reference;1;35
Reference;0;35
Reference;0;35
Reference;1;35
Reference;1;35
Reference;0;35
Reference;1;35
Reference;1;35
Reference;1;35
Reference;1;35
Reference;1;35
Reference;1;35
Reference;0;35
Reference;1;35
Reference;0;35
Reference;0;35
Reference;0;35
Reference;0;35
Reference;1;35
Reference;0;36
Reference;1;36
Reference;0;36
Reference;1;36
Reference;1;36
Reference;1;36
Reference;1;36
Reference;1;36
Reference;1;36
Reference;0;36
Reference;0;36
Reference;1;36
Reference;1;36
Reference;1;36
Reference;1;36
Reference;0;36
Reference;0;36
Reference;0;36
Reference;1;36
Reference;0;36
Reference;0;36
Reference;1;36
Reference;1;36
Reference;1;36
Reference;1;36
Reference;0;36
Reference;1;36
Reference;1;36
Reference;1;36
Reference;0;36
Reference;0;36
Reference;0;36
Reference;1;36
Reference;1;36
Reference;1;36
Reference;0;36
Reference;1;36
Reference;1;36
Reference;1;36
Reference;1;36
Reference;0;36
Reference;1;36
Reference;0;36
Reference;1;36
Reference;1;36
Reference;1;36
Reference;1;37
Reference;1;37
Reference;1;37
Reference;1;37
Reference;1;37
Reference;1;37
Reference;1;37
Reference;1;37
Reference;1;37
Reference;0;37
Reference;1;37
Reference;0;37
Reference;1;37
Reference;1;37
Reference;0;37
Reference;1;38
Reference;0;38
Reference;0;38
Reference;1;38
Reference;1;38
Reference;1;38
Reference;1;38
Reference;0;38
Reference;0;38
Reference;1;38
Reference;0;38
Reference;1;38
Reference;0;38
Reference;0;38
Reference;0;38
Reference;0;38
Reference;0;38
Reference;1;38
Reference;0;38
Reference;1;38
Reference;0;38
Reference;0;38
Reference;1;38
